SampleID,Ots28
C240028CVP,Early / Late
C240031CVP,Early / Late
C240036SWP,Early / Late
C240044CVP,Early / Late
C240047CVP,Early / Late
C240055SWP,Early / Late
C240066SWP,Early / Late
C240179SWP,Early / Late
C240183SWP,Early / Late
C240191SWP,Early / Late
C240194SWP,Early / Late
C240195SWP,Early / Late
C240196SWP,Early / Late
C240202SWP,Early / Late
C240204SWP,Early / Late
C240206SWP,Early / Late
C240213SWP,Early / Late
C240214SWP,Early / Late
C240219SWP,Early / Late
C240230CVP,Early / Late
C240231SWP,Early / Late
C240259CVP,Early / Late
C240285SWP,Early / Late
C240289CVP,Early / Late
C240293CVP,Early / Late
C240324CVP,Early / Late
C240330CVP,Early / Late
C240367SWP,Early / Late
C240420SWP,Early / Late
C240436SWP,Early / Late
C240437SWP,Early / Late
C240445SWP,Early / Late
C240449SWP,Early / Late
C240473SWP,Early / Late
C240477SWP,Early / Late
C240487SWP,Early / Late
C240489SWP,Early / Late
C240496SWP,Early / Late
C240506SWP,Early / Late
C240522SWP,Early / Late
C240543SWP,Early / Late
C240545SWP,Early / Late
C240547SWP,Early / Late
C240553SWP,Early / Late
C240557SWP,Early / Late
C240564SWP,Early / Late
C240568SWP,Early / Late
C240571SWP,Early / Late
C240584SWP,Early / Late
C240585SWP,Early / Late
C240588SWP,Early / Late
C240592SWP,Early / Late
C240598SWP,Early / Late
C240602SWP,Early / Late
C240605SWP,Early / Late
C240608SWP,Early / Late
C240610SWP,Early / Late
C240631SWP,Early / Late
C240634SWP,Early / Late
C240643SWP,Early / Late
C240660SWP,Early / Late
C240666SWP,Early / Late
C240673SWP,Early / Late
C240680SWP,Early / Late
C240691SWP,Early / Late
C240693SWP,Early / Late
C240696SWP,Early / Late
C240703SWP,Early / Late
C240713SWP,Early / Late
C240717SWP,Early / Late
C240720SWP,Early / Late
C240721SWP,Early / Late
C240736SWP,Early / Late
C240745SWP,Early / Late
C240769SWP,Early / Late
C240771SWP,Early / Late
C240784SWP,Early / Late
C240787SWP,Early / Late
C240794SWP,Early / Late
C240803SWP,Early / Late
C240807CVP,Early / Late
C240812SWP,Early / Late
C240816SWP,Early / Late
C240821SWP,Early / Late
C240829SWP,Early / Late
C240842SWP,Early / Late
